VJAVKW_DT,yhat,lower,upper
2023-01-02,10973.068183153558,5731.108224156122,16215.028142150995
2023-01-09,11951.671697402435,6314.377452616852,17588.965942188017
2023-01-16,11720.551860326485,5800.773327721802,17640.330392931166
2023-01-23,11825.37518963823,5697.321574252123,17953.428805024334
2023-01-30,12531.887784045759,6246.348684337712,18817.426883753804
2023-02-06,13959.987704308687,7552.6969789340355,20367.278429683338
2023-02-13,12875.342069396353,6371.971695422227,19378.712443370478
2023-02-20,14056.996457068031,7476.305277858597,20637.687636277464
2023-02-27,15045.484881457236,8401.380511854139,21689.589251060333
2023-03-06,16409.469170537574,9712.396011475965,23106.542329599182
2023-03-13,16305.732478372447,9563.62610594921,23047.838850795684
2023-03-20,15925.45859008101,9144.413308167408,22706.503871994613
2023-03-27,16265.988140565158,9450.730716391365,23081.24556473895
2023-04-03,16885.725403409608,10039.955591943864,23731.49521487535
2023-04-10,16814.19655526448,9940.834758106983,23687.558352421976
2023-04-17,15532.370754208554,8633.740134543837,22431.00137387327
2023-04-24,17142.292067524668,10220.253884264079,24064.330250785257
2023-05-01,17994.000097580498,11050.055299165433,24937.944895995563
2023-05-08,17230.603807200554,10265.970044660313,24195.237569740795
2023-05-15,15855.858113446582,8871.528669317326,22840.18755757584
2023-05-22,16201.235619674484,9198.02490346088,23204.44633588809
2023-05-29,17191.23134803249,10169.810317661624,24212.652378403352
2023-06-05,16693.807973877796,9654.731931714323,23732.88401604127
2023-06-12,16182.217244404646,9125.947808594145,23238.48668021515
2023-06-19,15744.076794717865,8670.999382215616,22817.154207220112
2023-06-26,16447.03208067074,9357.469902683695,23536.59425865778
2023-07-03,17435.891600252275,10330.116926264795,24541.666274239753
2023-07-10,17573.02929414138,10451.272560997728,24694.78602728503
2023-07-17,17764.3817662633,10626.838975604815,24901.92455692179
2023-07-24,18624.66152519202,11471.500272987645,25777.822777396395
2023-07-31,16459.871307598354,9291.235714424185,23628.506900772525
2023-08-07,17454.33036651515,10270.345120118345,24638.315612911956
2023-08-14,17658.635739559955,10459.409417413523,24857.862061706386
2023-08-21,16694.202117483434,9479.829923127436,23908.57431183943
2023-08-28,17703.964733070326,10474.530753588118,24933.398712552535
2023-09-04,18279.458363043872,11035.037434240989,25523.879291846755
2023-09-11,18654.447732163037,11395.10698157307,25913.788482753003
2023-09-18,17531.924656619372,10257.724781366283,24806.12453187246
2023-09-25,17676.824113807044,10387.82043986411,24965.82778774998
2023-10-02,17258.94370836148,9955.187069301017,24562.700347421942
2023-10-09,16742.946099988916,9424.483566484036,24061.408633493797
2023-10-16,16658.476796187697,9325.352281977059,23991.601310398335
2023-10-23,16244.59877164487,8896.853537146493,23592.34400614325
2023-10-30,15010.079701050649,7647.7527721104625,22372.406629990834
2023-11-06,16947.79638178249,9570.924898009009,24324.66786555597
2023-11-13,16126.660855519667,8735.280360162269,23518.041350877065
2023-11-20,15521.570593242932,8115.71527451727,22927.425911968596
2023-11-27,12938.732839235281,5518.4357313054015,20359.02994716516
2023-12-04,13155.626422953608,5720.919573380433,20590.333272526783
2023-12-11,11247.761030801454,3798.6756401093126,18696.846421493596
2023-12-18,9380.394976801588,1916.9615148565554,16843.82843874662
2023-12-25,8574.773972998652,1097.0222760976749,16052.525669899627
2024-01-01,11475.45077575713,3638.0162005907378,19312.885350923523
2024-01-08,12208.709059796713,4278.7173134838185,20138.700806109606
2024-01-15,11971.468099120453,3963.8853195835663,19979.05087865734
2024-01-22,12014.764378341579,3940.964628980836,20088.56412770232
2024-01-29,12552.599954060932,4421.3251136934305,20683.874794428433
2024-02-05,13681.002037723883,5499.04025771872,21862.963817729047
2024-02-12,12777.763500942336,4550.435647026905,21005.091354857766
2024-02-19,13715.247756445233,5446.76068869144,21983.734824199026
2024-02-26,14499.525657349915,6193.231863605821,22805.81945109401
2024-03-04,15590.912907963087,7249.503455221553,23932.322360704624
2024-03-11,15495.119031416125,7120.768488057132,23869.469574775118
2024-03-18,15177.148733544114,6771.62512074882,23582.67234633941
2024-03-25,15444.97117948411,7009.720193042365,23880.222165925854
2024-04-01,15940.428293950814,7476.638403102614,24404.218184799014
2024-04-08,15876.779223464955,7385.432416274611,24368.1260306553
2024-04-15,14833.190495857549,6315.102147437512,23351.278844277585
2024-04-22,16133.992383272747,7589.842804730959,24678.141961814537
2024-04-29,16820.95813082913,8251.317698821467,25390.598562836793
2024-05-06,16199.515095068587,7604.864386347177,24794.165803789998
2024-05-13,15083.06213008956,6463.80813882996,23702.316121349162
2024-05-20,15361.056897660426,6717.546158460222,24004.56763686063
2024-05-27,16161.797410147658,7494.326660472214,24829.2681598231
2024-06-03,15757.32945614485,7066.154330418314,24448.504581871384
2024-06-10,15341.60050458619,6626.942645186347,24056.25836398603
2024-06-17,14985.583338815743,6247.636227739304,23723.530449892183
2024-06-24,15554.516667787597,6793.450420115254,24315.58291545994
2024-07-01,16355.288279785362,7571.2535915303015,25139.322968040422
2024-07-08,16465.892159635234,7659.023564636618,25272.760754633848
2024-07-15,16620.52348800878,7790.942048688603,25450.10492732896
2024-07-22,17317.358911088577,8465.174444243767,26169.543377933387
2024-07-29,15562.599897920547,6687.9128178680585,24437.286977973035
2024-08-05,16368.29442860351,7471.197274877693,25265.39158232933
2024-08-12,16533.655135518587,7614.233840135894,25453.07643090128
2024-08-19,15751.851810866014,6810.186750308239,24693.516871423788
2024-08-26,16570.058512511925,7606.225381562321,25533.89164346153
2024-09-02,17036.338669808123,8050.409207836379,26022.268131779867
2024-09-09,17340.141862112825,8332.184457056797,26348.09926716885
2024-09-16,16430.309212380405,7400.389403286168,25460.229021474643
2024-09-23,16547.668976018533,7495.84987139527,25599.488080641793
2024-09-30,16208.938088233965,7135.280714511518,25282.59546195641
2024-10-07,15790.698637096473,6695.262229024631,24886.135045168317
2024-10-14,15722.198149425556,6605.040392231862,24839.35590661925
2024-10-21,15386.736671329149,6247.913902779563,24525.559439878736
2024-10-28,14386.19564121131,5225.763020333898,23546.62826208872
2024-11-04,15956.586064166378,6774.597712251461,25138.574416081297
2024-11-11,15291.079197452285,6087.588315992012,24494.57007891256
2024-11-18,14800.668826947656,5575.727796389301,24025.60985750601
2024-11-25,12707.403297737334,3461.063760270523,21953.742835204146
2024-12-02,12883.171884439915,3615.484813494737,22150.85895538509
2024-12-09,11336.939539661542,2047.9552983425292,20625.923780980556
