VJAVKW_DT,VJAVKW,TTOKM
2008-07-21,200829,45948.0
2008-07-28,200830,40031.0
2008-08-04,200831,32189.0
2008-08-11,200832,26582.0
2008-08-18,200833,24612.0
2008-08-25,200834,35220.0
2008-09-01,200835,39023.0
2008-09-08,200836,39001.0
2008-09-15,200837,40527.0
2008-09-22,200838,38781.0
2008-09-29,200839,39271.0
2008-10-06,200840,39284.0
2008-10-13,200841,38199.0
2008-10-20,200842,41002.0
2008-10-27,200843,40589.0
2008-11-03,200844,41169.0
2008-11-10,200845,42068.0
2008-11-17,200846,41342.0
2008-11-24,200847,37959.0
2008-12-01,200848,38139.0
2008-12-08,200849,39071.0
2008-12-15,200850,35380.0
2008-12-22,200851,29069.0
2008-12-29,200852,5481.0
2009-01-05,200901,622.0
2009-01-12,200902,11438.0
2009-01-19,200903,28325.0
2009-01-26,200904,31351.0
2009-02-02,200905,36359.0
2009-02-09,200906,35440.0
2009-02-16,200907,33768.0
2009-02-23,200908,33466.0
2009-03-02,200909,34111.0
2009-03-09,200910,35917.0
2009-03-16,200911,39101.0
2009-03-23,200912,38080.0
2009-03-30,200913,42896.0
2009-04-06,200914,38399.0
2009-04-13,200915,35547.0
2009-04-20,200916,30500.0
2009-04-27,200917,39213.0
2009-05-04,200918,34439.0
2009-05-11,200919,37693.0
2009-05-18,200920,42467.0
2009-05-25,200921,36561.0
2009-06-01,200922,41570.0
2009-06-08,200923,34635.0
2009-06-15,200924,35236.0
2009-06-22,200925,39937.0
2009-06-29,200926,40180.0
2009-07-06,200927,34619.0
2009-07-13,200928,36270.0
2009-07-20,200929,36205.0
2009-07-27,200930,36848.0
2009-08-03,200931,34759.0
2009-08-10,200932,24983.0
2009-08-17,200933,27104.0
2009-08-24,200934,34838.0
2009-08-31,200935,41138.0
2009-09-07,200936,42441.0
2009-09-14,200937,46039.0
2009-09-21,200938,46283.0
2009-09-28,200939,46232.0
2009-10-05,200940,44040.0
2009-10-12,200941,42381.0
2009-10-19,200942,39820.0
2009-10-26,200943,38750.0
2009-11-02,200944,33979.0
2009-11-09,200945,36489.0
2009-11-16,200946,37777.0
2009-11-23,200947,39491.0
2009-11-30,200948,43385.0
2009-12-07,200949,43950.0
2009-12-14,200950,36207.0
2009-12-21,200951,36954.0
2009-12-28,200952,11519.0
2010-01-04,201001,10560.0
2010-01-04,200953,3077.0
2010-01-11,201002,29023.0
2010-01-18,201003,38402.0
2010-01-25,201004,36500.0
2010-02-01,201005,34426.0
2010-02-08,201006,38042.0
2010-02-15,201007,41154.0
2010-02-22,201008,44168.0
2010-03-01,201009,43183.0
2010-03-08,201010,44924.0
2010-03-15,201011,41628.0
2010-03-22,201012,45196.0
2010-03-29,201013,40678.0
2010-04-05,201014,33336.0
2010-04-12,201015,42460.0
2010-04-19,201016,44671.0
2010-04-26,201017,42891.0
2010-05-03,201018,42835.0
2010-05-10,201019,36677.0
2010-05-17,201020,41725.0
2010-05-24,201021,35395.0
2010-05-31,201022,37406.0
2010-06-07,201023,41247.0
2010-06-14,201024,43565.0
2010-06-21,201025,42502.0
2010-06-28,201026,43637.0
2010-07-05,201027,37984.0
2010-07-12,201028,41656.0
2010-07-19,201029,44816.0
2010-07-26,201030,43589.0
2010-08-02,201031,38206.0
2010-08-09,201032,37416.0
2010-08-16,201033,39915.0
2010-08-23,201034,45265.0
2010-08-30,201035,40803.0
2010-09-06,201036,41179.0
2010-09-13,201037,39444.0
2010-09-20,201038,41681.0
2010-09-27,201039,41576.0
2010-10-04,201040,39871.0
2010-10-11,201041,39105.0
2010-10-18,201042,40760.0
2010-10-25,201043,35158.0
2010-11-01,201044,33917.0
2010-11-08,201045,41026.0
2010-11-15,201046,40313.0
2010-11-22,201047,41423.0
2010-11-29,201048,34541.0
2010-12-06,201049,30038.0
2010-12-13,201050,32511.0
2010-12-20,201051,16533.0
2010-12-27,201052,4492.0
2011-01-03,201053,54.0
2011-01-03,201101,10726.0
2011-01-10,201102,32931.0
2011-01-17,201103,39136.0
2011-01-24,201104,41305.0
2011-01-31,201105,44713.0
2011-02-07,201106,48479.0
2011-02-14,201107,50142.0
2011-02-21,201108,48224.0
2011-02-28,201109,48044.0
2011-03-07,201110,49615.0
2011-03-14,201111,47894.0
2011-03-21,201112,52850.0
2011-03-28,201113,51246.0
2011-04-04,201114,53251.0
2011-04-11,201115,51896.0
2011-04-18,201116,49237.0
2011-04-25,201117,38859.0
2011-05-02,201118,47349.0
2011-05-09,201119,47191.0
2011-05-16,201120,47904.0
2011-05-23,201121,43790.0
2011-05-30,201122,35083.0
2011-06-06,201123,42012.0
2011-06-13,201124,34744.0
2011-06-20,201125,34940.0
2011-06-27,201126,37923.0
