ds,yhat,yhat_lower,yhat_upper,actual
2006-07-31,41158.14216857459,30369.64485679232,51547.41291269512,47725.0
2006-08-07,36915.8229924365,26353.19608591623,47976.25723639493,40106.0
2006-08-14,36985.51599170253,27006.953625616996,47429.779835764,34715.0
2006-08-21,41157.96566077229,29865.845428725577,52402.8575818904,51681.0
2006-08-28,45833.04229006941,35211.37155084577,56618.12527933201,46685.0
2006-09-04,47924.33817176627,37092.03768841263,59044.64011538906,50294.0
2006-09-11,47647.70487004422,36431.118442780244,58089.69893080272,46588.0
2006-09-18,47266.476285258585,36307.212644010244,57267.98766540207,48794.0
2006-09-25,47897.77948184655,36923.14623624702,58837.49144434049,50162.0
2006-10-02,48476.181284965685,36846.136787243755,58825.10289847336,47997.0
2006-10-09,47742.6054664151,37164.429793325784,58396.19817519477,50492.0
2006-10-16,46194.63880959603,34585.599173913484,56156.55345034557,47751.0
2006-10-23,45381.51687345415,34903.585374738344,56192.66297383151,45461.0
2006-10-30,45803.5617401328,35141.02690395576,55899.86478362274,41147.0
2006-11-06,46527.26385437469,35651.32375483488,57567.447216170396,48938.0
2006-11-13,46955.80800873833,36697.11620342533,57656.50520921028,50391.0
2006-11-20,47848.786860374545,36952.617715475484,58707.491999905986,52420.0
2006-11-27,49592.0196157633,39061.28822213088,59321.66667422644,55912.0
2006-12-04,49958.236737278174,39368.044853642685,61359.734481842075,47963.0
2006-12-11,45254.14110348478,33713.37385975177,55317.94483766491,52772.0
2006-12-18,34812.76661766912,24283.611207826078,45736.53185894015,40289.0
2006-12-25,23784.051802622893,13406.717368633821,34742.000152486515,10399.0
2007-01-01,19897.07931984918,9176.345640363197,31200.95078330894,24727.0
2007-01-08,26465.11475888585,15929.019252580494,36623.4178518603,47938.0
2007-01-15,38845.399537258134,27030.6715845987,49732.60293728315,52044.0
2007-01-22,48504.56064544546,36667.195686255865,58948.82089333844,50317.0
2007-01-29,50720.18439914283,39628.951326737275,61229.678297876126,50681.0
2007-02-05,47997.89458883424,37312.28783278115,58809.843029556825,55903.0
2007-02-12,46118.819520524776,35103.11775446552,57057.24848076712,60279.0
2007-02-19,47757.78268309275,37165.09272312658,58298.562661064134,62372.0
2007-02-26,50649.025484735685,39982.03268760035,61394.852650534514,60942.0
2007-03-05,51423.11694466075,40423.70423472253,62594.36461105912,58964.0
2007-03-12,49810.24961390653,39351.43501196528,61340.858070621114,57253.0
2007-03-19,48331.85275163468,37593.32000819905,58884.46723979876,57519.0
2007-03-26,48644.74995873266,38077.1516691546,59039.216418205506,57696.0
2007-04-02,49569.903569186354,38937.834186054875,60051.70767598905,51060.0
2007-04-09,49087.12856690882,38106.8386354641,59492.460778887886,44992.0
2007-04-16,47268.52849131426,35799.19617922676,57808.888577071906,56074.0
2007-04-23,46161.906220329,35385.37862006839,57133.106509836245,55920.0
2007-04-30,46925.98115799701,36354.31605023861,57964.081098116374,43392.0
2007-05-07,48186.85247781615,37383.54898993435,59285.92644789297,51911.0
2007-05-14,47853.2980255844,36727.7126319555,59536.07514839051,48321.0
2007-05-21,45948.414221832034,34281.83144829228,56579.96929288214,53835.0
2007-05-28,44644.330539686256,33249.07757224347,55780.9985699738,45949.0
2007-06-04,45413.868114827186,33884.62781427504,55940.27972090728,43144.0
2007-06-11,47072.372146271315,36121.2790513476,57213.76310557878,51128.0
2007-06-18,47340.10656555873,36761.21787308302,58431.439458566354,51776.0
2007-06-25,45879.30153814868,36268.5332642124,56187.48883734192,55154.0
2007-07-02,44721.89095296695,34484.652803026576,55693.87893709873,49873.0
2007-07-09,45385.21194193991,33417.421564796154,55989.19284213762,53256.0
2007-07-16,46439.04891302879,35188.849228079096,57403.009969126055,49680.0
2007-07-23,44944.750421080775,33612.61533771041,55985.95947011247,47487.0
2007-07-30,40276.57194406862,29599.74932121217,51530.33043295023,43107.0
2007-08-06,35575.279096785365,24810.977254806756,46840.15794843366,36931.0
2007-08-13,34757.02741645406,23887.28173345467,46388.59464121294,32903.0
2007-08-20,38404.69568515605,26768.942111498283,49324.04627519553,46011.0
2007-08-27,43287.704671004816,32276.205276124478,53631.31750529281,47049.0
2007-09-03,45926.71792500609,35285.15595806746,56265.2227486468,47785.0
2007-09-10,45923.04660485087,35222.670678701325,56139.22903926204,50411.0
2007-09-17,45411.065910356985,35151.29705131602,55855.78944914663,50936.0
2007-09-24,45890.78617135201,34023.39246225414,57118.339130278175,46011.0
2007-10-01,46602.02578656915,35426.052299642404,58842.91965857538,44449.0
2007-10-08,46124.525301160116,35922.082777138734,56513.744715860434,48724.0
2007-10-15,44610.11738072428,34377.63952819356,55855.29253238976,50813.0
2007-10-22,43577.438568765596,33714.8287436127,54671.6799235954,42591.0
2007-10-29,43822.328247313315,33484.08776483654,54950.50839913199,40402.0
2007-11-05,44573.00392261468,33329.80627086012,55260.79280545775,46119.0
2007-11-12,45030.0754738337,34088.32174926051,55631.8546310067,41842.0
2007-11-19,45762.70252949963,34413.29562852171,56767.06091034271,44497.0
2007-11-26,47430.40838155986,36391.43974804017,58743.680443829624,45458.0
2007-12-03,48320.33914272783,37008.104949859815,58685.71534835722,46621.0
2007-12-10,44721.32306301518,33450.17362767339,55945.80341291744,46850.0
2007-12-17,35089.93963007987,24387.50524672429,45535.74022581462,33419.0
2007-12-24,23585.985291470257,12824.455319772625,34456.891695583116,6250.0
2008-01-07,22790.010669716008,11967.509899910574,34789.35436391988,10832.0
2008-01-14,34748.108794914595,23337.150302749433,45309.77478206296,33598.0
2008-01-21,45437.446978195425,34450.19883754814,55640.510199885095,44163.0
2008-01-28,48992.15302121956,38502.84551572726,59560.990756691936,46185.0
2008-02-04,46730.31106916226,36199.69587801937,57533.275849596095,48852.0
2008-02-11,44351.656294760156,34036.98934155901,54896.083073168076,48433.0
2008-02-18,45413.381327811876,34953.13385819875,56306.47004054383,47748.0
