VJAVKW_DT,yhat,lower,upper
2023-01-02,55385.13267882266,41846.30839827281,68923.9569593725
2023-01-09,61967.689147002646,46393.44384970415,77541.93444430115
2023-01-16,60386.812346257655,44067.3821761211,76706.24251639421
2023-01-23,61891.89694729851,45102.86984805432,78680.9240465427
2023-01-30,58790.57997255241,41544.73813168107,76036.42181342375
2023-02-06,60855.008351686345,43164.14374134179,78545.8729620309
2023-02-13,60803.154203090846,42678.190188706314,78928.11821747538
2023-02-20,60061.349264786375,41512.44227855328,78610.25625101947
2023-02-27,59124.73650619837,40161.36180006762,78088.11121232912
2023-03-06,61016.252189085404,41647.276735894484,80385.22764227632
2023-03-13,57738.97778116881,37972.72269914822,77505.2328631894
2023-03-20,56880.93166068688,36725.226021124225,77036.63730024954
2023-03-27,57454.718949650545,36916.94643922745,77992.49146007364
2023-04-03,57404.91606192404,36492.05567528437,78317.77644856372
2023-04-10,54555.98995857994,33274.651668606835,75837.32824855305
2023-04-17,54028.151064421894,32384.607240143294,75671.6948887005
2023-04-24,58924.96373925352,36925.17694177157,80924.75053673548
2023-05-01,58896.07304032387,36545.72071657171,81246.42536407603
2023-05-08,59019.201163012476,36323.69766877277,81714.70465725218
2023-05-15,59311.02212470823,36275.538437183044,82346.50581223342
2023-05-22,58284.90638743521,34914.38780997459,81655.42496489582
2023-05-29,59842.59047143601,36141.77258595736,83543.40835691465
2023-06-05,56617.163825845375,32590.58690981722,80643.74074187354
2023-06-12,54436.870480481884,30088.892573415153,78784.84838754861
2023-06-19,57569.50493355024,32904.31371142098,82234.6961556795
2023-06-26,56245.810417559966,31267.434011448317,81224.18682367161
2023-07-03,54006.8103075844,28719.127184241766,79294.49343092703
2023-07-10,55257.607806252505,29664.355812655045,80850.85979984996
2023-07-17,54378.34678101857,28483.131441713642,80273.56212032349
2023-07-24,52976.32059001556,26782.622734803022,79170.0184452281
2023-07-31,52672.458605079686,26183.641394955743,79161.27581520363
2023-08-07,54054.08185229986,27273.397263354957,80834.76644124476
2023-08-14,54735.236271514375,27665.83108939514,81804.64145363361
2023-08-21,55639.741487980136,28284.662859415814,82994.82011654446
2023-08-28,54047.3699833959,26409.570566001454,81685.16940079036
2023-09-04,52235.56613517624,24317.90888215227,80153.2233882002
2023-09-11,55376.85761693453,27182.12022928514,83571.59500458393
2023-09-18,55053.02364800277,26583.902723399086,83522.14457260646
2023-09-25,56716.59196084137,27975.70686519931,85457.47705648342
2023-10-02,55448.52233018166,26438.418815335448,84458.62584502787
2023-10-09,58093.0511297835,28816.20471827112,87369.89754129587
2023-10-16,56337.28358995209,26796.10274584097,85878.46443406321
2023-10-23,52128.761209429125,22325.590312263328,81931.93210659492
2023-10-30,52074.85945685452,22011.98159416707,82137.73731954198
2023-11-06,58161.50232812078,27841.141920499376,88481.8627357422
