VJAVKW_DT,yhat,lower,upper
2023-01-02,12859.491113535792,9202.443850366617,16516.538376704968
2023-01-09,12444.165849892137,8639.731832812678,16248.599866971595
2023-01-16,12984.240884930807,9135.351683247769,16833.130086613844
2023-01-23,13596.543974146884,9715.28043997393,17477.807508319835
2023-01-30,13534.49247168149,9622.988655276418,17445.99628808656
2023-02-06,13348.563742624663,9407.376324625451,17289.751160623873
2023-02-13,13908.938034522076,9938.346232715721,17879.52983632843
2023-02-20,13294.25174894791,9294.481869861826,17294.021628033996
2023-02-27,12704.886564070783,8676.151721096054,16733.62140704551
2023-03-06,13706.2623367939,9648.769613333665,17763.755060254134
2023-03-13,12616.390308906786,8530.34215623711,16702.438461576465
2023-03-20,12992.218181348493,8877.812789472464,17106.623573224522
2023-03-27,12813.981099574585,8671.412580311604,16956.549618837566
2023-04-03,12825.555215223127,8655.013746509398,16996.096683936856
2023-04-10,12227.4086899234,8029.080648039827,16425.736731806974
2023-04-17,11187.51079211691,6961.578876883571,15413.442707350248
2023-04-24,12631.271863614465,8377.915217729407,16884.628509499526
2023-05-01,12966.767170241268,8686.161493237276,17247.37284724526
2023-05-08,12172.264711905054,7864.582369054949,16479.94705475516
2023-05-15,12129.174552792716,7794.584679251479,16463.764426333953
2023-05-22,12383.49138125158,8022.159981700534,16744.822780802628
2023-05-29,12156.647013876564,7768.73705791649,16544.556969836638
2023-06-05,12586.326131534737,8171.997645058319,17000.654618011155
2023-06-12,12575.419903668026,8134.830056426915,17016.009750909136
2023-06-19,12388.702969131647,7922.006158699526,16855.39977956377
2023-06-26,11837.922462154007,7345.270394474145,16330.57452983387
2023-07-03,12126.673189893829,7608.214956587717,16645.131423199942
2023-07-10,11585.203442667304,7041.085595269919,16129.321290064687
2023-07-17,12202.404273025504,7632.770894302536,16772.037651748473
2023-07-24,11457.514814685415,6862.507587178288,16052.522042192542
2023-07-31,12387.56927624048,7767.327548176201,17007.811004304756
2023-08-07,11313.185571498958,6667.846420193637,15958.524722804279
2023-08-14,11376.314534733914,6706.012827611163,16046.616241856666
2023-08-21,12140.342235691258,7445.210689029617,16835.4737823529
2023-08-28,11972.283076642314,7252.452312159229,16692.1138411254
2023-09-04,12640.247579986399,7895.846179360116,17384.64898061268
2023-09-11,12218.296825689948,7449.451383114954,16987.142268264943
2023-09-18,11548.870521887866,6755.705694754134,16342.035349021597
2023-09-25,12292.686850843873,7475.325408625158,17110.048293062588
2023-10-02,13144.67620735311,8303.239078784854,17986.113335921364
2023-10-09,12625.970056708873,7760.576375331909,17491.363738085838
2023-10-16,12819.786528818568,7930.553676960668,17709.019380676466
2023-10-23,11994.780213118098,7081.8238643816085,16907.73656185459
2023-10-30,12467.803694142916,7531.237854463086,17404.369533822748
2023-11-06,12278.26698291219,7318.204030247426,17238.329935576952
2023-11-13,13066.360325234036,8082.911047946152,18049.80960252192
2023-11-20,11970.33496026761,6963.6085942471145,16977.061326288105
2023-11-27,11572.95610490591,6543.060369494644,16602.851840317177
2023-12-04,11871.8970496368,6818.938182397519,16924.85591687608
2023-12-11,11993.55313074566,6917.635921125736,17069.470340365584
2023-12-18,10089.6370185921,4990.864840526153,15188.409196658049
2023-12-25,9631.823034525374,4510.297878019452,14753.348191031297
2024-01-01,12422.969813128579,7055.659620806944,17790.280005450215
2024-01-08,12081.072450389112,6653.824560988228,17508.320339789996
2024-01-15,12455.536137370522,6988.134943570859,17922.937331170186
2024-01-22,12888.162596565113,7383.905875269653,18392.41931786057
2024-01-29,12843.897393596602,7303.5507268236015,18384.2440603696
2024-02-05,12712.021857012363,7135.9106932091145,18288.133020815614
2024-02-12,13109.330742799855,7497.699290009376,18720.962195590335
2024-02-19,12673.503377801166,7026.577946658311,18320.42880894402
2024-02-26,12255.630476251064,6573.630804160125,17937.630148342003
2024-03-04,12965.627449938302,7248.768812099341,18682.486087777263
2024-03-11,12192.88466509949,6441.378348373343,17944.390981825636
2024-03-18,12459.35473166175,6673.408214053358,18245.301249270142
2024-03-25,12332.980795860061,6512.797869867389,18153.163721852732
2024-04-01,12341.187093457482,6486.967975730733,18195.40621118423
2024-04-08,11917.088305079455,6029.029740109969,17805.146870048942
2024-04-15,11179.778265089866,5258.073624479173,17101.48290570056
2024-04-22,12203.436006493246,6248.275384247701,18158.596628738793
2024-04-29,12441.309415475538,6452.879719565548,18429.739111385526
2024-05-06,11877.990035215123,5856.475075591666,17899.504994838582
2024-05-13,11847.43818295614,5793.018756200052,17901.857609712228
2024-05-20,12027.754299909695,5940.608270677772,18114.900329141616
2024-05-27,11866.916750441493,5747.219129863627,17986.614371019357
2024-06-03,12171.568512975893,6019.491534148432,18323.645491803356
2024-06-10,12163.83576217268,5979.548952884865,18348.122571460495
2024-06-17,12031.44942812984,5815.119680952356,18247.77917530732
2024-06-24,11640.934168428956,5392.725808286337,17889.142528571574
2024-07-01,11845.664662706802,5565.739512048672,18125.58981336493
2024-07-08,11461.750932501165,5150.268374180896,17773.233490821432
2024-07-15,11899.359634155377,5556.476672118839,18242.242596191914
2024-07-22,11371.216941037264,4997.088258918757,17745.345623155772
2024-07-29,12030.645615416413,5625.423633133656,18435.867597699173
2024-08-05,11268.884394457726,4832.719322892929,17705.049466022523
2024-08-12,11313.64419107367,4846.684084923091,17780.60429722425
2024-08-19,11855.356311016469,5357.747119886585,18352.96550214635
2024-08-26,11736.198742239667,5208.084360064063,18264.313124415272
2024-09-02,12209.799983005758,5651.322295853014,18768.277670158503
2024-09-09,11910.62779679447,5321.926729133801,18499.32886445514
2024-09-16,11435.99010797284,4817.203667460859,18054.77654848482
2024-09-23,11963.371929210398,5314.636250059233,18612.107608361563
2024-09-30,12567.450760259335,5888.9001452433695,19246.0013752753
2024-10-07,12199.676911037937,5491.443872193613,18907.90994988226
2024-10-14,12337.09697035623,5599.3122684267455,19074.881672285715
2024-10-21,11752.149697260891,4984.9423799351225,18519.35701458666
2024-10-28,12087.533548353722,5291.030987346344,18884.0361093611
2024-11-04,11953.147931812424,5127.475858829992,18778.820004794856
2024-11-11,12511.923110574964,5657.205652210635,19366.640568939292
2024-11-18,11734.817485709422,4851.177197306986,18618.457774111856
2024-11-25,11453.067305855082,4540.625204381132,18365.50940732903
2024-12-02,11665.022883781063,4723.898479742334,18606.147287819793
2024-12-09,11751.279669390846,4781.590997832093,18720.9683409496
2024-12-16,10401.362078686192,3403.2257293023904,17399.498428069994
2024-12-23,10076.76208900324,3050.293235398375,17103.230942608105
