ds,yhat,yhat_lower,yhat_upper,actual
2007-02-19,23917.1080028671,16294.76358836929,31125.647899079875,23461.0
2007-02-26,24398.93441589793,16355.137173989166,32121.29992101427,23845.0
2007-03-05,24383.410793284296,16556.150506270653,31393.69456604063,24311.0
2007-03-12,23892.059082054893,16228.550486383561,31229.93381207118,24449.0
2007-03-19,23425.043343421723,15627.374599134997,30411.509263378073,24594.0
2007-03-26,23286.43947179154,15857.218561704203,31097.57698294021,27461.0
2007-04-02,23298.18035456775,15798.131956547046,30752.73330802771,25680.0
2007-04-09,23168.408880516836,15603.219262678522,30084.248239987297,22931.0
2007-04-16,22923.458012503306,15872.834859804225,30351.85738486313,25842.0
2007-04-23,22825.266928129113,15878.924386430384,30230.942463162308,23484.0
2007-04-30,22954.246283582786,15370.303879023253,31039.010015639502,23212.0
2007-05-07,23075.128766198923,16017.218982115251,30549.947523444276,25166.0
2007-05-14,22967.100024345305,15039.16044969235,30285.420891740483,23926.0
2007-05-21,22736.858827647575,15649.772649749833,29904.775428669676,29059.0
2007-05-28,22663.42380416923,15774.560376474052,29369.94932442324,23999.0
2007-06-04,22790.075991840127,15684.578349678552,29720.339296284357,22797.0
2007-06-11,22849.019094992047,14981.246806897007,30593.655832713062,26396.0
2007-06-18,22651.424075112707,15046.372698239154,30447.95616996076,25273.0
2007-06-25,22407.150117684978,15266.189833037304,30199.118685863024,25385.0
2007-07-02,22486.065660979224,15283.477973532565,30764.615271503168,24468.0
2007-07-09,22880.17185387943,14908.518754079283,30573.48025233122,24039.0
2007-07-16,23087.080304565607,15630.761077455583,30573.74199421521,24589.0
2007-07-23,22650.41862314046,15192.254400209456,30116.160667018325,24093.0
2007-07-30,21738.98791021079,14151.557569220466,28858.57082974934,24120.0
2007-08-06,21033.472137315628,13578.993185698992,28485.564635255545,24392.0
2007-08-13,21012.94934877671,13678.28515201278,28596.04981283683,21581.0
2007-08-20,21476.95481961486,13842.985320902635,28946.35576925471,22916.0
2007-08-27,21853.627438450127,14295.811619308008,30138.837151098032,20889.0
2007-09-03,21878.40866548667,14527.9902493407,29281.24010848221,22833.0
2007-09-10,21800.459372754452,14916.683131169742,29667.46760671284,25149.0
2007-09-17,21917.25578468184,14492.69495062976,28783.267335086264,23827.0
2007-09-24,22108.148928159306,14807.772669637334,29253.69312301588,23373.0
2007-10-01,22005.099019218258,14439.586105059288,29303.746115545764,23533.0
2007-10-08,21557.44499667638,14053.30609540315,29401.036848571384,23270.0
2007-10-15,21192.432303749454,13658.129058168835,29263.512330680776,22552.0
2007-10-22,21301.420470897137,13997.310919755228,28604.442893331016,23573.0
2007-10-29,21713.126357737754,14142.840323846029,29089.27083119711,23294.0
2007-11-05,21893.658223879454,14281.750702037598,29348.507599725195,24726.0
2007-11-12,21669.726712468513,14056.993187199656,29157.502271879,22332.0
2007-11-19,21515.656355959436,14376.47191418143,29353.298351445508,23061.0
2007-11-26,21929.96119450398,14601.694200726359,29627.45359591567,24060.0
2007-12-03,22626.195744923793,16020.753883233798,30541.583145574874,24287.0
2007-12-10,22640.972358048857,15539.968342975397,30236.918048695705,24817.0
2007-12-17,21418.657918827193,13521.258772002575,28619.30624607847,24518.0
2007-12-24,19664.45335955882,12886.947528400184,27248.156979045023,19480.0
2008-01-07,19845.973485615326,12537.485567528971,27770.55942599193,27622.0
2008-01-14,21920.99903544501,13995.348367093224,29676.46081351247,26982.0
2008-01-21,23549.61021451305,15752.384934844738,31361.37310918672,24141.0
2008-01-28,23826.6647343262,16700.861046250855,30937.24027274874,23913.0
2008-02-04,23199.17530233224,15544.933285865154,30532.670945617272,24099.0
2008-02-11,22756.66685954462,15150.625404233238,29682.671525110614,24772.0
2008-02-18,23013.21293027639,15296.581308499264,30681.33743264471,25889.0
2008-02-25,23529.554831063528,16044.414563485605,31155.30730356293,25160.0
2008-03-03,23623.11455511021,16434.355933895164,31016.49094398933,24364.0
2008-03-10,23185.368292224208,15587.838431370177,30649.005908178406,25708.0
2008-03-17,22678.072977365966,15439.54228324448,30167.536047284906,25301.0
2008-03-24,22481.947623879092,14698.64759194646,30117.101664158537,25388.0
2008-03-31,22492.509665752495,14896.082447244311,30153.587642621096,22481.0
2008-04-07,22397.67448230258,14608.710004222166,30073.39601028101,24123.0
2008-04-14,22155.655509750686,15014.701002159123,29872.94175284188,24262.0
2008-04-21,22015.292111998395,14150.627739668364,29481.811458881617,25349.0
2008-04-28,22114.257263195082,14920.503711950048,30435.81150318896,24631.0
2008-05-05,22259.213050353526,15252.39315005746,29631.78334477117,23993.0
2008-05-12,22194.66491999292,14882.410862521108,29647.20534926592,26024.0
2008-05-19,21965.231182389583,14363.482814011504,29326.897134688195,22143.0
2008-05-26,21849.604050963117,13989.547917193175,28996.601990349434,23564.0
2008-06-02,21954.51466845827,14560.841224372862,29978.088890364375,25207.0
2008-06-09,22048.23292103325,14173.779101413895,30036.658287390426,25742.0
2008-06-16,21892.976213554783,13946.508242101256,29111.93879619379,24490.0
2008-06-23,21627.278496784475,13675.24559065582,28813.148434831997,24461.0
2008-06-30,21632.483989771892,13911.060904982087,29077.561221523592,22339.0
2008-07-07,21997.03390946884,14402.23915914987,29464.154810918848,24017.0
2008-07-14,22282.063722398827,14384.130753230853,30092.917062084067,24378.0
2008-07-21,21969.517068764562,14385.636320562144,29088.275177320207,25479.0
2008-07-28,21099.94940637842,13908.06196695245,28582.219555554362,23803.0
2008-08-04,20306.582531395816,12754.05656910965,28162.20113462814,23390.0
2008-08-11,20158.323394824445,12464.985166176155,27888.047434138676,24241.0
2008-08-18,20576.25145519071,13153.282919806761,28329.145283894377,21110.0
2008-08-25,21004.016282720084,13365.833697332615,28742.883729279914,24228.0
2008-09-01,21084.845676155845,13704.02339971673,29231.526046196082,22116.0
2008-09-08,20996.222617495736,13731.32361788537,28166.510796524337,21807.0
2008-09-15,21073.032838746065,13586.78321974547,27883.875140028773,20647.0
2008-09-22,21277.788596912815,13811.203645515443,29035.17809738553,20211.0
2008-09-29,21246.480370595833,14362.232611690653,29300.14684600902,23019.0
2008-10-06,20839.060024613704,13432.855797674036,28746.64748793977,23694.0
2008-10-13,20420.04252664093,12657.701350638854,27577.777319539608,22873.0
2008-10-20,20438.276756943313,12952.292276231432,27759.92117185758,20837.0
2008-10-27,20833.391858192063,13756.766156937416,28529.87405960467,21537.0
2008-11-03,21087.226925359213,14053.04721766801,28780.995750565944,21069.0
2008-11-10,20915.8725237636,13604.746698024492,28386.999703979134,20372.0
2008-11-17,20700.485698416975,13171.183443128411,28099.183151182082,21670.0
2008-11-24,21005.77458904647,13229.773965710498,28579.757064679758,21883.0
2008-12-01,21713.648007653872,14031.853657886759,29596.443304634875,22456.0
2008-12-08,21919.322730273787,14351.778604278808,30132.87389116801,20929.0
2008-12-15,20905.02313647851,12982.56198235681,27952.085767131637,19943.0
2008-12-22,19142.403472714406,11231.713109346865,27163.63818893269,19698.0
2008-12-29,18072.780892960993,10695.765103443244,25526.39722958603,9545.0
2009-01-05,18743.25569780751,11466.905817798863,26474.68572868514,3907.0
2009-01-12,20730.610485441794,13135.163816220243,27666.31374862797,15117.0
2009-01-19,22541.220956101228,14568.786515340404,30385.918317632357,18803.0
2009-01-26,23063.848343115344,15505.918221297019,30753.083324460848,19193.0
2009-02-02,22519.231200865604,15164.060927373794,30052.615814621615,19001.0
2009-02-09,21977.03515623655,14796.45994508929,29350.9200212092,17287.0
2009-02-16,22118.258301060574,15267.762455146865,29955.539604526446,16853.0
2009-02-23,22644.85893710335,14617.440685240823,31045.63404821536,17792.0
2009-03-02,22844.139448708138,15198.60307342241,29918.492375789665,18506.0
2009-03-09,22476.786936460252,15001.482540156861,29953.01533936735,16047.0
2009-03-16,21942.570451800137,14270.064903441023,29636.886105279038,18499.0
2009-03-23,21684.659625428816,14443.58287126717,29749.798542892502,16722.0
2009-03-30,21682.576072187898,13448.601632369735,28680.43552465196,17402.0
2009-04-06,21621.314839240258,14901.696648962628,28987.818835506983,19174.0
2009-04-13,21391.46476656405,13972.21229911701,28613.992436412507,18009.0
2009-04-20,21214.017757571783,13499.716104741825,28754.282203252566,16737.0
2009-04-27,21275.935284385996,14016.02451744267,28661.951209988903,19167.0
2009-05-04,21435.654352039008,14148.087436372314,28932.679379744117,18937.0
2009-05-11,21416.21817604444,14055.35238593837,28991.391299668376,21779.0
2009-05-18,21197.77930248353,13425.12430888518,28078.75545974965,18951.0
2009-05-25,21043.90853978037,13696.242170207874,28563.917287956538,18991.0
2009-06-01,21118.638091013763,13846.934313525604,28756.21335929811,20704.0
2009-06-08,21238.31531911642,13464.26933501213,28627.669000447895,17784.0
2009-06-15,21130.20215933009,13647.814086163036,28739.894335594134,18951.0
2009-06-22,20856.923395931328,14002.705461009027,28665.102885121214,19104.0
